,time_sec,node,is_curph_mingreenmet,curr_phase_elapsed_time,cycle_elapsed_time,iscurrsg_mainstreet,sg_vehexists,isotherphases_demand
1778,1697233386518.0,8,1,51.5,0.0,1,True,True
1779,1697233386601.0,9,1,19.5,19.5,0,True,True
1780,1697233386668.0,10,1,11.2,11.2,0,True,True
1781,1697233386576.0,11,0,17.8,44.8,1,True,True
1782,1697233386738.0,1,1,13.6,13.6,0,True,True
1783,1697233386682.0,2,0,8.7,33.0,0,True,True
1784,1697233386645.0,3,1,82.3,0.0,0,True,True
1785,1697233386743.0,4,1,34.8,0.0,0,True,True
1786,1697233386176.0,5,1,86.7,86.7,1,True,True
1787,1697233386620.0,6,0,0.1,21.3,1,True,True
1788,1697233386682.0,7,1,15.0,15.0,0,True,True
1789,1697233386618.0,8,1,51.6,0.0,1,True,True
1790,1697233386701.0,9,1,19.6,19.6,0,True,True
1791,1697233384371.888,10,1,8.9,8.9,0,True,True
1792,1697233386676.0,11,0,17.9,44.9,1,True,True
1793,1697233386838.0,1,1,13.7,13.7,0,True,True
1794,1697233386782.0,2,0,8.8,33.1,0,True,True
1795,1697233386845.0,3,1,82.5,0.0,0,True,True
1796,1697233386843.0,4,1,34.9,0.0,0,True,True
1797,1697233386376.0,5,1,86.9,86.9,1,True,True
1798,1697233386720.0,6,0,0.2,21.4,1,True,True
1799,1697233386782.0,7,1,15.1,15.1,0,True,True
1800,1697233386818.0,8,1,51.8,0.0,1,True,True
1801,1697233386801.0,9,1,19.7,19.7,0,True,True
1802,1697233386868.0,10,1,11.4,11.4,0,True,True
1803,1697233386776.0,11,0,18.0,45.0,1,True,True
1804,1697233386938.0,1,1,13.8,13.8,0,True,True
1805,1697233386982.0,2,0,9.0,33.3,0,True,True
1806,1697233386945.0,3,1,82.6,0.0,0,True,True
1807,1697233386943.0,4,1,35.0,0.0,0,True,True
1808,1697233386477.0,5,1,87.0,87.0,1,True,True
1809,1697233386920.0,6,0,0.4,21.6,1,True,True
1810,1697233386982.0,7,1,15.3,15.3,0,True,True
1811,1697233386918.0,8,1,51.9,0.0,1,True,True
1812,1697233386901.0,9,1,19.8,19.8,0,True,True
1813,1697233386968.0,10,1,11.5,11.5,0,True,True
1814,1697233386976.0,11,0,18.2,45.2,1,True,True
1815,1697233387138.0,1,1,14.0,14.0,0,True,True
1816,1697233384714.8882,2,0,6.7,31.0,0,True,True
1817,1697233387045.0,3,1,82.7,0.0,0,True,True
1818,1697233387043.0,4,1,35.1,0.0,0,True,True
1819,1697233386576.0,5,1,87.1,87.1,1,True,True
1820,1697233387020.0,6,0,0.5,21.7,1,True,True
1821,1697233387082.0,7,1,15.4,15.4,0,True,True
1822,1697233387018.0,8,1,52.0,0.0,1,True,True
1823,1697233387101.0,9,1,20.0,20.0,0,True,True
1824,1697233387068.0,10,1,11.6,11.6,0,True,True
1825,1697233387075.0,11,0,18.3,45.3,1,True,True
1826,1697233384829.883,1,1,11.7,11.7,0,True,True
1827,1697233387081.0,2,0,9.1,33.4,0,True,True
1828,1697233387145.0,3,1,82.8,0.0,0,True,True
1829,1697233387143.0,4,1,35.2,0.0,0,True,True
1830,1697233386676.0,5,1,87.2,87.2,1,True,True
1831,1697233387120.0,6,0,0.6,21.8,1,True,True
1832,1697233387182.0,7,1,15.5,15.5,0,True,True
1833,1697233387118.0,8,1,52.1,0.0,1,True,True
1834,1697233387201.0,9,1,20.1,20.1,0,True,True
1835,1697233387167.0,10,1,11.7,11.7,0,True,True
1836,1697233384837.889,11,0,16.1,43.1,1,True,True
1837,1697233387338.0,1,1,14.2,14.2,0,True,True
1838,1697233387281.0,2,0,9.3,33.6,0,True,True
1839,1697233387245.0,3,1,82.9,0.0,0,True,True
1840,1697233387343.0,4,1,35.4,0.0,0,True,True
1841,1697233386777.0,5,1,87.3,87.3,1,True,True
1842,1697233387220.0,6,0,0.7,21.9,1,True,True
1843,1697233387282.0,7,1,15.6,15.6,0,True,True
1844,1697233387218.0,8,1,52.2,0.0,1,True,True
1845,1697233387301.0,9,1,20.2,20.2,0,True,True
1846,1697233387267.0,10,1,11.8,11.8,0,True,True
1847,1697233387275.0,11,0,18.5,45.5,1,True,True
1848,1697233387439.0,1,1,14.3,14.3,0,True,True
1849,1697233387381.0,2,0,9.4,33.7,0,True,True
1850,1697233387345.0,3,1,83.0,0.0,0,True,True
1851,1697233387444.0,4,1,35.5,0.0,0,True,True
1852,1697233386876.0,5,1,87.4,87.4,1,True,True
1853,1697233387320.0,6,0,0.8,22.0,1,True,True
1854,1697233387382.0,7,1,15.7,15.7,0,True,True
1855,1697233387318.0,8,1,52.3,0.0,1,True,True
1856,1697233387401.0,9,1,20.3,20.3,0,True,True
1857,1697233387367.0,10,1,11.9,11.9,0,True,True
1858,1697233387375.0,11,0,18.6,45.6,1,True,True
1859,1697233387538.0,1,1,14.4,14.4,0,True,True
1860,1697233387483.0,2,0,9.5,33.8,0,True,True
1861,1697233387446.0,3,1,83.1,0.0,0,True,True
1862,1697233387543.0,4,1,35.6,0.0,0,True,True
1863,1697233386976.0,5,1,87.5,87.5,1,True,True
1864,1697233387421.0,6,0,0.9,22.1,1,True,True
1865,1697233387483.0,7,1,15.8,15.8,0,True,True
1866,1697233387518.0,8,1,52.5,0.0,1,True,True
1867,1697233387502.0,9,1,20.4,20.4,0,True,True
1868,1697233387567.0,10,1,12.1,12.1,0,True,True
1869,1697233387476.0,11,0,18.7,45.7,1,True,True
1870,1697233387638.0,1,1,14.5,14.5,0,True,True
1871,1697233387581.0,2,0,9.6,33.9,0,True,True
1872,1697233387545.0,3,1,83.2,0.0,0,True,True
1873,1697233387643.0,4,1,35.7,0.0,0,True,True
1874,1697233387076.0,5,1,87.6,87.6,1,True,True
1875,1697233387520.0,6,0,1.0,22.2,1,True,True
1876,1697233387582.0,7,1,15.9,15.9,0,True,True
1877,1697233385298.8801,8,1,50.3,0.0,1,True,True
1878,1697233387601.0,9,1,20.5,20.5,0,True,True
1879,1697233387667.0,10,1,12.2,12.2,0,True,True
1880,1697233387575.0,11,0,18.8,45.8,1,True,True
1881,1697233387738.0,1,1,14.6,14.6,0,True,True
1882,1697233387681.0,2,0,9.7,34.0,0,True,True
1883,1697233387645.0,3,1,83.3,0.0,0,True,True
1884,1697233387743.0,4,1,35.8,0.0,0,True,True
1885,1697233387176.0,5,1,87.7,87.7,1,True,True
1886,1697233387620.0,6,0,1.1,22.3,1,True,True
1887,1697233387682.0,7,1,16.0,16.0,0,True,True
1888,1697233387618.0,8,1,52.6,0.0,1,True,True
1889,1697233387701.0,9,1,20.6,20.6,0,True,True
1890,1697233387767.0,10,1,12.3,12.3,0,True,True
1891,1697233387675.0,11,0,18.9,45.9,1,True,True
1892,1697233385439.883,1,1,12.3,12.3,0,True,True
1893,1697233385440.8801,2,0,7.5,31.8,0,True,True
1894,1697233387745.0,3,1,83.4,0.0,0,True,True
1895,1697233387843.0,4,1,35.9,0.0,0,True,True
1896,1697233387276.0,5,1,87.8,87.8,1,True,True
1897,1697233387820.0,6,0,1.3,22.5,1,True,True
1898,1697233387782.0,7,1,16.1,16.1,0,True,True
1899,1697233387718.0,8,1,52.7,0.0,1,True,True
1900,1697233387801.0,9,1,20.7,20.7,0,True,True
1901,1697233385455.882,10,1,10.0,10.0,0,True,True
1902,1697233387775.0,11,0,19.0,46.0,1,True,True
1903,1697233388037.0,1,1,14.9,14.9,0,True,True
1904,1697233387881.0,2,0,9.9,34.2,0,True,True
1905,1697233387945.0,3,1,83.6,0.0,0,True,True
1906,1697233387943.0,4,1,36.0,0.0,0,True,True
1907,1697233387477.0,5,1,88.0,88.0,1,True,True
1908,1697233387920.0,6,0,1.4,22.6,1,True,True
1909,1697233387982.0,7,1,16.3,16.3,0,True,True
1910,1697233387918.0,8,1,52.9,0.0,1,True,True
1911,1697233388000.0,9,1,20.9,20.9,0,True,True
1912,1697233387967.0,10,1,12.5,12.5,0,True,True
1913,1697233387875.0,11,0,19.1,46.1,1,True,True
1914,1697233385728.879,1,1,12.6,12.6,0,True,True
1915,1697233387981.0,2,0,10.0,34.3,0,True,True
1916,1697233388044.0,3,1,83.7,0.0,0,True,True
1917,1697233388143.0,4,1,36.2,0.0,0,True,True
1918,1697233387576.0,5,1,88.1,88.1,1,True,True
1919,1697233388019.0,6,0,1.5,22.7,1,True,True
1920,1697233388081.0,7,1,16.4,16.4,0,True,True
1921,1697233388017.0,8,1,53.0,0.0,1,True,True
1922,1697233388100.0,9,1,21.0,21.0,0,True,True
